,Duration,Call Id,Match,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos,type_Current Customer,type_Hang-ups,type_Other,type_Sales,type_Service,status_Answering Service/Call Center,status_Current Customer,status_Disconnected in Progress,status_Existing Customer Prospect,status_Hang-up,status_Left Message/Voice Mail,status_New Prospect,status_Other,status_Referral Prospect,status_Repeat Caller,Words
741,285,1046320244,0,0.707106781,0,0.707106781,-0.5,0.866025404,-0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Miss Maria speaking how can I make a smile where else should I just say hello so good morning it's text colder calling and I'm in need of a blur and my son Scott recommended you so I'm calling to see if I can make an appointment for a service call please feels like that you got the main visit my toilet is leaking to the point that pretty shut it off so that it fits sold right now but it then it went at the pickles and then it goes into this over the Overflow in his traveling into the self toilet and the 2nd I would like to shower all right there but feel so two items today I have no I've never used to be for us to say my son recommended you since I guess it's Trader I voice text but it's Mitchell's RH day Coulter see ohh you El Que e our 107 Applewood press adhere London the Wonderland area party 1:07 107 Applewood Crescent Applewood one word We Are One 471-3734 rogers.com is your spot if I recognize alright when $9 Visa card now is there for you so I'm more of a nap for like 4 morning so I have tomorrow afternoon available I can have them out tomorrow afternoon okay with that alright I will have someone give you a call and we'll confirm your call tomorrow by 10 tomorrow morning so 11 in the morning so we'll be back around 11 before lunch so you won't have you Bobby not I will I will let them know that I'll ask Rosie really room and leave me a message then when I get in from my walk you should do an email and let me know what's on the agenda we have him give you a call like 11 I will have dispatch the park give you a confirm tomorrow thank you 
747,108,718723924,0,0.707106781,0.258819045,0.866025404,-0.5,1,-0.866025404,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,furnace motor I am going to be at the focus this one if you could have her a service tech come out hello heart 840 519-686-0969 okay alright bye 
753,269,699550985,0,1,0.258819045,0.866025404,-0.866025404,1,-0.866025404,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Aero 0 2 0 3 I'm having a problem here for underscore 10 our first what I'll do is I will have Diana call you tomorrow are you home okay I will have a number okay then thank you bye bye 
759,135,1047993693,0,0.866025404,0.707106781,-2.45E-16,-0.866025404,0.5,0.866025404,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Mario game hope to make a smile hey I'm calling to I guess I'll take my card information that you guys going to sell for 1893 Moss Edward howling hi inspire okay they did the store doesn't expire til 9 but ice I noticed a friend the password for 6 1476 91769 306 or fiery those good until 08 or horse good Alice +54-461-476-3064 Stephen call him okay thank you 
765,111,717835517,1,0.866025404,0.707106781,0.258819045,-0.866025404,0.5,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,your no problem that would come with her Harper morning recorder concert 
771,105,717776187,1,0.866025404,0.707106781,0.707106781,-0.866025404,0.5,-0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Greenwood my service everything comes up oh my gosh 49105 look at the furnace an air conditioner whatever hello this pervasive 
777,74,1048148872,1,0.866025404,0.5,-0.707106781,-0.866025404,0.866025404,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,it's a great day at my home service this is Diana how to make you smile hi I would just like to change my credit card number on my cell and the name is a front at 1505 proud foot unit 1 sorry unit one and the new card number 581 1615 3492 9021 X-Play 808 4 my boo I just need code 06964 you so much bye bye 
783,950,1048156032,0,0.866025404,0.5,-0.707106781,-0.866025404,0.866025404,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,service mile money instead language people just called me about possibly price on flushing of a line here could could you have Tony call me I don't know I didn't her name either and I'm in Arbor readjust on the airplane tonight to put on hold for a brief moment and I will call you Century still on the other line well price of those fucking line here at our at our condo and only was here initially and I talked to Tony before we commit to this stuff is there anyway that Tony call me at home hi there my money's running stain language my my situation here with that line okay yes it's for a one Saint Johns drive your send you my phone number cuz you called anyway that's going in the next you know half hour I'd like to just call right now I don't believe he is if you want to call me so my mom and I'll see if someone else can help you here I will have this problem until they put the camera in there and Paul is this gaming effects of the scale in there so I just didn't think that we were only responsible I thought you people would be period part of the cost on this the water is running into my simple face now I didn't know how critical it was but at the same time if we had a problem I've I really thought that you were partially responsible for this so whether we could clean it I don't I'm going to recommend our board that lease for $500 that we don't clean us and if we have them down the road then I guess we got to discuss it with you people so yeah so I'm just kind of a Melissa $500 right right it's Renee McMahon my walls are you the owner of the condo and I haven't discussed this with the president of our condo Court to authorize anything so had a question of school before I presented the the situation to our president so I talked with Tony on this before I talk to her present so I so there's no way that only couldn't call me back and a half an hour or so Donna Roseman oil good afternoon my Garvis hi Mike this is Angela from Harbor you're at my place the other day on my face but yeah so let me know the load out what's going on here now that the one we we sent us down the week when we could only get so far and that's kind of the challenges we've tile over a sanitary system is for sanitary I can get right out to the main door unfortunately with leaving tiles it doesn't always work out that way so when we were doing the the camera we noticed there was a full mailbox probably think that cleaned out because if not it could cause you a lot better than y'all to come on running more than you know where you guys put up on the know the intake coming into those this is okay when you put the deli to see the scale and then as you see it in you you build up to fail to cos the the daily up to of that little pile up okay well we thinking a little farther wasn't definitely not Della was kind of hard to see exactly what it was but it looked it was a half bye no behalf of I fill up quickly when we put those cameras in we've got a basket goes on I'm so head of the cameras and put in the honestly if we after your work I have a family thing anyway but we've got the place to be put around up with basically standards the camera a little bit in it and it's not most of us do the 3 inches from the actual front it does not camera so that we can suck around obviously we would have done that for sure if it was more of a you know if that does debt plugged up you're going to have a lot bigger issue and possibly and I you know but probably the other 3 or I'm not sure if there's for units right into one pumps I believe so if I you're basically going to have water in one two or three basement is what's going to happen that would be the there was all the 5th at in-laws what I was a little surprised that $500 for the fluck thing yeah I know it seems like a lot of money those names are not big at all and it does a better set up cuz we want to make sure that we don't you know make a lot of good well make any nothing careful well I get a hold of Dick the present is there to see if they're going to if the prices I am about it I'm only here tomorrow I'm leaving early early Friday morning so I mean anyway I've been running no are you going to do the listing go around corners a little better than what the word is definitely better than the camera and I'd love to tell you how we can go right to the far end but I can't promise you that because again with with tiles just not felt the same way sanitary system so sounds on how their plans are but leave me the flicker is easier group Gazette Viet cameras it is a bonus pool has probably 6 tonight as long as it's like full of the box that's on mobile yeah only we could definitely get rid of that fairs and go and go farther than I always get us none of us know you know you probably be around here to eat while you're always going to get a bit of a belt normal but what we saw on the camera wasn't in my opinion was normal bailed on me okay I just I didn't know what you thought other than that scale that use the camera like when you've built of heal up well we certainly the right near the end of where was I don't we we couldn't tell exactly what it was that was the top part of wasn't really just Archdale was a lighter alert hard to know exactly what it was we did not get point so it's 8 we were kind of looking at it I like her to tell exactly with our cameras whether you're an employee or six inches away it was certainly we could see it pretty clear on the screen your friend wants to run the camera after your flood as soon as I get a little let's get a hold of the firm if that's a go then I guess you know anything about the timing for this let me have a quick Maria initially were talking around midday area late morning early afternoon I didn't know if there was anything any different with that cuz fine with me I don't want it too late in the day cuz I guess they got things going on here to get away so as long as we maybe able to get in there probably get a hold of her 
789,108,1084774758,0,0.5,0.707106781,0.707106781,0.866025404,0.5,-0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Adam Services I know hopefully make you smile citrus from solar furnace for us so somewhere on your thing find something from sink are you just a service so what we would that we can give you some options there shovel dish full movie small Tap House over in Frozen up unfortunately doesn't have the feature sets of the beach the year so we just have a straight-A start the leaks over for something like I can call you back because I have to talk it over to shoot 
795,281,717515216,0,0.866025404,0.5,0.258819045,-0.866025404,0.866025404,0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,I'm calling because first of all it hello I guess we're gonna leave it see if we're going to watch the I was out of line at 1 Jones Drive so black has done for for a week or so or do we there was a question about a part or yeah tomorrow you know I'm not a problem there so if you work are you are sucking see now actually okay okay I'm you know would be yes okay you're not answering bye 
801,246,1048648721,0,0.866025404,0,-0.258819045,-0.866025404,0.866025404,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Maria speaking how can I make you smile Sunday I'm calling to see we had we had you folks come out last Friday on Friday to do a camera inspection of a weeping file here it in Arvada CO Ann Arbor and however apparently Hammer if it only goes so far in this particular line there at that particular wine and the fellows who were here I guess suggested they come back calling because I'm the president of the condo board I'm back and they do up there in speaking I think with a third a hammer or something from another local weather it's from the sump pump or whatever I don't know anyway so we were wondering if we could arrange for that that whole end in q post left a mess here my wife took State you have a bill prepared for that instant on Friday and I ski referred the caller to our Treasurer and I'm sure you've contractor we would like the other inspect them done this week if we could it's full it's unit 1 Saint Johns Drive 8021 here now I see when he was kind of price for further oh yeah he's waiting back haven't heard back yet so from Mike's bass a primer correctly we should try to get out he's trying to what was he saying here your Mr Hoffman yeah yeah it is that's going to do some more pricing okay all the fires to get more now I'm not sure why he said he'll hoping to hear back by this afternoon okay okay yeah yeah let's find out what what what he was working on a first and then we can set up an appointment okay 500-9432 3364 I'm now I will be out for a short while after well come in a boat an hour or so for probably an hour or whatever but leave a message to go either way that's great I appreciate that I said he's not be til later or tomorrow okay alright alright thank you very much 
807,82,716038010,0,0.866025404,0.707106781,-2.45E-16,-0.866025404,0.5,0.866025404,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Mimi's mile earlier already saw it or condo and morning 
813,388,1049270265,0,0.866025404,0.707106781,0.5,-0.866025404,0.5,-1.84E-16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,this is Diana how to make you smile you just did okay Diana just curious week we're in a condo Jenna are you the one we have the number some pumpkin here but we have one unit we're constantly apparently for no reason because it says more less elevated anyway we we had an inspection of some punk and The fella was steer suggested that possibly maybe we should have the weeping tile checked around doesn't clogged or whatever and so I understand the you people have a magic little bird to refill your way through there and we'll look what does that cost how far they are okay how do they start how do you start getting into this bloody thing I just bear with me here at the Weeping pilot yeah but cuz there's actually a credit get it because it has to work camera inspection yes I'm looking here I'm headed actually to 14161 you saved its regular the cellular to meet you okay so what I do is I feel not Philip this information and then click sign up and an appointment with you alright you or someone from here there when you come so what what kind of door you look nice but let us in having see before I know I don't think so your address is in my system okay you're one of the number one John straw Arvest harvell are there in one C 0 yeah you got to love those town wide live in our Co 9 at 3 ohh yes I lose the grammar any dispersed Me lyrics Rahman new SMS and it's wonderful so it's really nice yeah yeah yeah when we were in our house yes x o at the complex here not too sure so what works best for you before I start looking at Michael it's what is your note actually most of the time we could be available okay what is that because I'm in the folks who are in one having a cookout as well so either one of us fit here so if that's fine we'll certainly can do it in the morning possibly early afternoon tomorrow okay early afternoon okay and you if you have desperately new Paul's what is my yeah they're the only problem is I'm oh no wait Mass late late morning would be a good one for tomorrow because I think we should one of us should be here so if if when they come live let me put it this way Diana at like I'm in and at 7 okay that would be the first stop if I think it'll never know the other the unit in question is 2111 also be able to get us in there and try Carlos phone number for you as well 432-3364 alright you are all set for tomorrow and I'll give you an hour before I believe you're welcome bye bye 
819,279,1048409427,0,0.866025404,0.258819045,-0.258819045,-0.866025404,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,breaking pretty fun is Maria style hi I'm just wondering how much it would cost to put a diverter valve in my car well I was we needed in the active wall of the shower right now it's on the shower head but it's too high for my wife to reach Sonia diverter valve down more where the pastor and so have a minor leak and you can see it coming through a bit in the kitchen the bathrooms on the floor and the kitchen's blow it and must minor does it just not showing it like the same between the drywall he's kind of showing up a bit and I'm pretty sure that's where the back of it so I'm thinking if we were getting the diverter valve that's have to take the back wall off in the closet behind the shower but anyway so they might be able to see where the leak I would be a bicycle Capital can find someone come out they can see where where the leak is coming from give you a price on the 00 school semester price was right we were going to get done we had a song you know those Puck lights in the kitchen as well as I don't know I like my lights on the other smaller now I'm just like a rose I put a roll of them in a couple of Rose the one of your guys you want of your life who is Mike with me a quote on that a while ago so if the price is right on the diverter in the shower then we would combine them to install slicer right below the shower anyways though in the kitchen so that would I'm going to send a plumber is actually yeah I'm just saying if it's not too high and I would do the job the same time if I already got a quote from a different phone though so I want to see what a quote from Penance is like embarrass me hungry an estimator so I will come in for me are you at home 9091 Payne Road I'm probably in your system at your record customer Suzanne Edwards before 8 right what am I am out on the leak and also the South so I'll run for the plumber when would you be a perfect for us know before tomorrow if you if you are available most Thursday morning question morning I will I will have someone give you a call to update you on I'm delighted okay good tomorrow by 10 1034 thank you 
825,82,1061450334,0,1,0.965925826,0.866025404,-0.866025404,-0.5,-0.866025404,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,calling Financial Services has been hacking to make a smile I also this is Bronson in London Colleen over running electrical for a little plan okay are you looking for somebody to come out today or you look possible you do have a $149 late fee okay and what's the address 132 Somerset with an old Crescent your telephone 9 6 5776 present sick 7676 Service Plumbing and electrical done before before okay I will give you a call bye 
831,306,1049156707,1,0.866025404,0.707106781,-0.866025404,-0.866025404,0.5,1.19E-15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,it's a pretty impressive you smile yes get a plumber before yes and what are we looking at what we sleep toilet not from the not from the not from the joint that has like the braided wire but from the tank to that I've braided wire thing so I suspect it might be a seal but it's probably 2530 years old well so I'm thinking we might as already fixed one problem on it and now this is happening so I'm thinking it might be time for a new one unless there's unless somebody can just say hey you know it you just need to do this but pretty I was wondering Saturdays usually put this to breathe or the other option is this paper personal it needs to be there has been a hook for Saturday I don't have any days off this week so when would be the earliest you'd be able to come we might be able to get up tomorrow otherwise you probably Monday okay okay I was just checking with my wife here probably when we see Monday probably first one of the day would be good that one okay what else would be a month would it be to the days the other day we are on 3116 Lane Drive I seen one is it that's great 95872 P.S right where you are so yeah it'll be totally died so how would that I would that work and you'll have a look at it and then they he says yeah I think we need a toilet usually with a pointless here looking at having to order also come out to you and when you want to go with going forward as like catalog or something or not okay this is an iPad said no we go to Lowe's or something like that I have no clue what to order okay right after the dogs right right you're a lot better go through us through it okay so is it possible how long is this window on Mondays anymore okay because the reason I ask is I just wondering we're looking at a new kitchen faucet well and I just wondering if you could look at that yeah we have one of these ones that swivels and then they they hand peace poles out as well okay and it's annoying and it's basically disintegrated in so we may use like the pull out bye yeah alright I got it okay thanks very much very welcome bye 
837,134,713234719,0,0.866025404,0,0.258819045,-0.866025404,0.866025404,0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,answer 
843,177,1051526779,1,0.866025404,0.866025404,0.5,-0.866025404,6.12E-17,-1.84E-16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,ohh yes Jim how to make a smile it's Mom I'm just wondering who you're full remove and install new shower so we do eyeballs is it well shower in the Presley now and hold on for one second do I can I certainly have someone come out and give you a price now we're both we would have to pick up those roll with me they had enough coffee black women and Order whining or like if you have a favorite one and have you come in install it was perfect it was no problem I will Law School someone to come out and remove an old one yes I'll be done work for you or if I'm driving 68 Nob Hill press and you are Barbara Smith 4755 cell 419-317-9555 correct I will get some I could come out and like if you want me to post office was there a time out for you I don't think so see what is available for that take them there Tuesday stay stay stay with me I can get them there like that between 11 and 1 11 + 1 yeah on Tuesday support - 14 yes that's great that okay yeah so call me thank you thank you bye bye 
849,217,1051766005,0,0.866025404,0.707106781,0.965925826,-0.866025404,0.5,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,the great date of birth is Maria speaking how can I make a smile good morning sweet Maria Maria Maria we have a sump pump that is not working and hear something though I'm wondering one come up tomorrow bye you why we are Vision a sale of our house but they found when they diction that some working and you know we can't feel deals and quite fixed no problem have availability for tomorrow actually for just perfect okay great that was so so well formation an online loan in process so it's not coming on at all or is it just as what's going on with what are the symptoms here I just won't start up and it doesn't seem to turn on never have water yeah I don't need a new motor whatever better come back and install it for you great let us know beforehand with me give you a pretty good hope you're not on the clock when he goes to Saint come back so how many been to that porch yes happy birthday Heather Court and you are and phone number daughter's game actually giving myself 519 seven one nine seven zero three scrape he will go over everything I'm amazed and then go ahead with her there when he's done he's not I have a second call of the day he's not want to call in the morning so I can get in there all of the day I will give you a call for for sale like a minute before he arrived sure and so approximately 6 hard to say that snow and oh yeah from around 12 to 12 okay awesome so much okay already bye 
855,85,710832369,0,0.866025404,0.866025404,0.866025404,-0.866025404,6.12E-17,-0.866025404,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,hello your call 5045 our hours are Monday through Friday 7:30 to 4 p.m. Maria Friday 7:30 a.m. to 4 p.m. or people Norfolk and have a weekly call 
861,98,664539683,0,0.258819045,1,0.5,1,-0.866025404,-1.84E-16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,I will let you know 
867,600,1052884954,0,0.866025404,0.707106781,-2.45E-16,-0.866025404,0.5,0.866025404,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,it's a great day so this Maria then how can I make a smile hi Maria I don't know if Linda and I had a washer and dryer do you one Electric Run and play this phone only to discover that the old dryer so love science is hard Wired from Briar pal the new dryer not be not removed and of course that he went to not be installed and make me the wiring and panelist this call for the new buyer knows what's the availability of an electrician be alright get someone out to see here for tomorrow I'm I will have a call to Louis your call what if you're available like this to give you a call half hour before or 15 minutes before I can do that I was supposed to work tomorrow this is turning into a bit of a fiasco here so I can make myself available alright I will ask her to call and then what's available feel better I guess it's the after hours good morning cuz I know there is some off for the more rating with EB holiday weekend this one if something Monday yeah yeah it's perfectly buddy like those were on a Saturday or Corey's not I'm going to have my full we do have to say yes we do have emergency after hours so I should call them and they will do the way and then we'll come out in I'm going with whatever you know if tomorrow is someone who said they would have to whisper sweet done and then go from there if he is able to slip to work so if he is able car's been is he will he needs to go get parts you know when when he comes to assess and then you will need our yes I will make this install Outlets well it'll have to be taking the old hard wiring from the old dryer to take me to the old dryer still there yeah this is because they were not all of my to do any electrical work so the old dryer is still sitting there why are it in like one is right in back prior and wired right into the breaker panel Pete's yes I'm all out but I have to be stalled installed as well as a new dryer is quite a big heavy duty present time there isn't any on the wall needs to install that might work okay yes but snow removal dryers hard wire small wiring blog for you yeah so no you haven't you just kind of came to mind today to figure out how you know what is the first first step so I've just been having a seizure so if my words I understand I have the same so not cool so that's it for me for making a nice big name first name is Linda it is a Marie I am r i e 422 I Street in London hey I found this morning with delivery was horrendous Sally May and I think that's me already and yes yes yes I would I guess her for her yeah yeah yeah okay if you want to take a bird sorry it's just know it's the Hillsdale what we going thanks bye yeah Vanessa v y 31 80519 6731 9 855 right yeah can and I have a cell as well okay to two steaks 376 3744 sure it's all lower case letters is basically my name Ella Marie L I am RI dot calm now do you charge for an initial house call or or how does your your billing worked it was best to go a little bit over how we work see you are welcome to go over three things first with you 318 he needs to do and then give you a killer price price and then go ahead with the work that is a system 9 dollars this and that's he's not or MasterCard okay alright I can cook who is this possible work actually be completed tomorrow then we'll see what's needed and then from there it does have to be paid off obviously you know he'll going and some more or to explain it okay rate so I will have I will have someone give you a call as as of now like I said I take it being on the at the afternoon tomorrow okay and I will have our dispatch Department give you a call with when they're on their way the hospital okay and that will be soon our place yeah to afternoon doesn't necessarily mean like 4 p.m. knows you know go with that would be after hours so ask them if if he was later in his calls and Hills will call you to reschedule Me by replying to snow later in the day rate so it with it and then the rescheduling I'm guessing would have to be on stage ass yes you know you need to be with me alright that was a washer dryer for a weekend this whole thing things to display so yeah yeah oh well but I'm star soon as possible like I said I will have I will put in the notes that you know early afternoon so that would be the earlier the better yes troubles you a call kinda give you an idea of how far how far he'll be in this kind of thing okay alright alright bye 
873,88,710613563,0,0.866025404,0.707106781,-2.45E-16,-0.866025404,0.5,0.866025404,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,alright bye 
879,134,710293474,1,0.866025404,0.5,0.258819045,-0.866025404,0.866025404,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,my I think I can make you smile yo bro alright the problem God that's cool hi cook again on Friday okay alright her next week Mondays a holiday I do have to Facebook and pearl of the girls could come by okay we will call the middle form before we arrive because we're home in the morning so to be you'd like I could call me before 3 alright purpose I think you bye 
885,156,706490920,1,0.965925826,0.258819045,0.5,-1,1,-1.84E-16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,intercourse 
891,180,693335317,1,0.965925826,0.5,-0.258819045,-0.5,0.866025404,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Jeff good morning I got a problem 
897,315,693223565,1,0.965925826,0.5,0.707106781,-0.5,0.866025404,-0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,purple purple 
903,337,1053458089,0,0.965925826,0,-0.866025404,-1,0.866025404,1.19E-15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,I'm just calling I have a new Option faucet to install those one is for the new one and I just want someone to talk to him since all it basically what we don't have a smoke detector that's kind of electrical in our basement isn't a we got a new one II seen some electrical issue there so someone to look at as well from I'm sorry pop it off room the kitchen and it's just one more thing with the 4th thanks so this is in the system what is the address is 1252 Riverbend Road for bro you left with UPS post ago I am 6:04 the phone number for you at 519-660-4323 I'm at the home number if it is you out another up okay the phone with us so you're right at 1060 somewhere I can I can send over at rogers.com not your husband's name do I don't know let me just take a look that would be great if it works if it doesn't work you know I can sort of schedule I'm sure that I'm around Friday between Friday yes I would work okay so the little rundown how we work so we can give us a few service calls you are Ryan will be Mouse going on so then I'll take a look at your first before they start any work I don't hurt by the hours that you'll have enough front price before we start anything okay okay from you'll know exactly what you're getting into before we so we get this in the shop you know paper so I'm sorry remind me the Specter what exact it was or what happened it no bye to 9 1/2 got a new one and it's a year with the two they should feel do that or not I'm sure Leach I'm done it was tight spot we might have like to wear in the roof and I wonder if it's not working so is it I would say 3 months ago hey do you know by any chance it's what I guess because at least they have the main factory warranty so even if we have to go for you you won't have to pay for this really all that's why I'm year that's Ashley Warren okay I didn't know if it's working fine now I just don't think it's safe top so we are all set here and go spend like the ghost Friday morning between 8 9 and then we can come check order perfect yes we are not sure your house not a problem is there anything I know anyways yeah who won pop up I don't know when you're done alright alright bye bye now 
909,165,709575519,1,0.965925826,0,0.866025404,-1,0.866025404,-0.866025404,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,just County at Fry's or not but anyways 
915,315,708934422,1,0.965925826,0.707106781,-0.258819045,-1,0.5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,summer 
921,59,1054410720,1,0.965925826,0.5,0.707106781,-1,0.866025404,-0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,service this is saying 1/2 miles you today you already have I'm calling to see if I could arrange to have somebody you wrote a route right sewer pipe I've got to cooking in it so I wonder if that would be possible either hit me or tomorrow asking if anyone is Friday after or Friday in the morning Friday will be if you're all booked up I have two trials for we are importantly okay thank you you're welcome bye bye bye 
927,316,708232806,0,0.965925826,0.258819045,0.707106781,-1,1,-0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,hi part of the closing so that's 48402 long Mikey School how long of a job that's the only thing so I will what about Friday morning early afternoon for what he's coming for Ryan I can't remember you are a fucking break schedule so who's available Thursday afternoon it would be like a okay I can I will be coming back on the 31st bye bye 
933,167,705472052,0,0.965925826,0.707106781,-0.5,-1,0.5,0.866025404,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,I forgot 
939,127,693294291,0,0.965925826,0.5,-2.45E-16,-0.5,0.866025404,0.866025404,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,not working 
945,76,706146243,0,0.965925826,0,0.5,-1,0.866025404,-1.84E-16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,and your 
951,108,705736986,1,0.965925826,0.866025404,-0.258819045,-1,6.12E-17,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,what's up license Equity furnace check repair Las Vegas okay I am to see if you have your a movie about bicycle through can I get your email address and I can send it to me yep perfect I will send it to you okay no problem bye bye 
956,143,705735897,0,0.965925826,0.866025404,-0.258819045,-1,6.12E-17,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,one of these seconds are talking about replacing old 60 amp fuse pills does anybody there that might be able to answer a couple of questions so can you switch the breaker panel yeah I guess that's the big car city of Malden Mass like to be have to come I was in they have to come and just connect or the feed from the street no comma credit card becoming disconnect and charger for a meter McLennan Haider won't charge it to the house it sounds like it's all done through the electrician yesterday my dad's house so I'm going to talk with them first to find out I'm lying Whispers hey John give me a call back when do next month or anything at least when are around and then what I'll do is I'll come back and schedule an appointment and I can just go through everything alright have a great call back 
962,199,1056997339,0,0.965925826,0.5,-0.258819045,-1,0.866025404,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,it's a media file services to make you smile they're set up used to have one of you come to our house and talk to us about a new furnace air conditioner system snow you haven't bought a furnace from you a few years ago I'm different how old is 3032 years you first thing Clyde CL yde lost Carruthers CA our our uth ER s 26 Village Drive if that is a Lissa all one word is so different words Village Drive and we're in Dorchester phone number please couple of numbers our home number bye 29 or alright 519-202-0114 is the home number and then my cellphone number is 519-719-5649 that's all hopefully we'd like to see somebody on Saturday if that's possible good morning Saturday morning yes please on the phone so I just wanted to find out what time would work for him can I spell your last appointment the home of the course request trying to cellphone number because I'll have that ready so as soon as I speak to him I will call you with the time for Saturday morning good see you bye 
968,253,704901787,0,0.965925826,0.5,0.866025404,-1,0.866025404,-0.866025404,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Aquarius where can I go find attorneys to give you an accurate price whore okay no problem I put a remote because he knows and then who wrote to say good night okay so how you heard it all okay perfect alright I'll have someone there I think ohh between 2 and 40 thank you 
974,165,704214586,1,0.965925826,0,0.866025404,-1,0.866025404,-0.866025404,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,so you want it disconnected store okay okay August phone number hey I realize it's a member of ours the next available okay after that Bessemer available Sears definitely know they will be a $59 discount are you taking the come on site will go over everything first cousin accurate price then go ahead with with it will take to pass by Visa Mastercard I think so Thursday or Friday after free Thursday afternoon that would be after 12 o'clock so we can give you a call when someone will be on their way with us okay 
980,77,704213382,1,0.965925826,0,0.866025404,-1,0.866025404,-0.866025404,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,I'm calling back they probably not since it's part of the day is going to make up work maybe some Anderson from from where I know there there might be somebody to me to be canceling tomorrow so anyway 
986,109,1057605756,1,0.965925826,0,0.866025404,-1,0.866025404,-0.866025404,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,did I make you smile good morning Diana my name is Jennifer Allen I waited all Friday after school okay what happened on Friday I have no idea what happened to join us here in the bullpen sorry in the schedule for Monday we have it be able to talk so you let me know what day works for you I'm credit to your account for the inconvenience and I've also put the gift cards in the mail for you as well thank you Mr week I understand when they when the fella was 9 to thank me this new system that you're doing where you're not giving us time to make any pain he said he said your time in the afternoon I said know if it's cool it's in the afternoon I have some time and they would let me you know I was here all day and then he says I'll know to call in and they give you somebody's available so call him though they will be in an hour is there a nice day Morrow Tuesday now you are in there okay bye 
992,149,1057804238,1,0.965925826,0.866025404,-0.965925826,-1,6.12E-17,-0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Pensacola point in Home Services your call is important to us please stay on the line and we'll be right with you please stand by play please stand bye waiting my name is Jennifer Allen those scheduled service call this afternoon and no one's going up an S ohh n okay is that electrical for me or HVAC 195 to 1388 I'm at the office the office is actually closed after speaking with me answering for the rest okay what time is it 1400 Miami I've been sitting here all afternoon they offered message in house to get me a call bye bye now 
998,255,703275545,1,0.965925826,0.5,0.965925826,-1,0.866025404,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,okay Michael Savino what he looks like he's phone numbers are still the same page how I feel and why the home protective payment right alright for one of our technicians to come out to go over that with you see what the problem is and get you guys going to be here I guess I'm free for today hello first available is next season if you have a cancellation Google someone to give you a call just looking at the schedule here at the Delco back unless I can get someone at the end of the day with Indians our phone I'm going to be done could I could be something very minor actress how do I go about that okay okay well I'll put you in for Friday so excited okay 2 in the afternoon when are you available someone could call me to confirm for sure I'm there okay I will give you a call back you know something comes up okay 
1004,192,703846494,0,0.965925826,0.866025404,-0.258819045,-1,6.12E-17,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,tell me you know it's on 2nd Street okay I guess you have somebody come out I take her to the scope in an upstairs bathroom because the very old one answered some of the news hourly rates are Cody alright 
